time;open;high;low;close;volume
Sep 16 2011;272.66;273.69;271.83;273.60;3,534,779
Sep 19 2011;270.44;275.22;267.95;273.60;2,471,190
Sep 20 2011;274.97;279.53;271.60;273.58;2,779,078
Sep 21 2011;274.11;277.77;269.69;269.86;2,516,138
Sep 22 2011;263.38;264.64;257.25;260.58;4,400,586
Sep 23 2011;258.53;263.47;257.50;263.01;2,778,870
Sep 26 2011;263.88;266.72;256.87;266.20;2,634,234
Sep 27 2011;269.36;273.79;268.28;269.93;3,010,925
Sep 28 2011;271.01;272.27;264.11;264.68;2,263,403
Sep 29 2011;268.28;268.91;259.96;264.01;2,907,381
Sep 30 2011;260.36;262.25;257.44;257.77;2,724,908
Oct 03 2011;255.17;256.25;247.74;248.00;4,473,863
Oct 04 2011;245.25;251.96;240.53;251.19;4,159,130
Oct 05 2011;248.42;254.15;240.62;252.59;4,534,752
Oct 06 2011;254.00;257.86;251.54;257.60;3,424,623
Oct 07 2011;258.67;260.50;255.40;257.81;2,856,047
Oct 10 2011;262.84;269.00;261.85;268.85;2,322,903
Oct 11 2011;266.99;273.66;266.99;271.85;2,853,777
Oct 12 2011;274.33;277.88;272.58;274.52;3,178,044
Oct 13 2011;275.28;279.77;274.28;279.77;5,687,512
Oct 14 2011;300.03;300.09;294.07;296.13;8,532,242
Oct 17 2011;292.14;296.20;289.28;291.49;4,008,302
